path,label
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\183181.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\394199.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\227735.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\016641.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\300837.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\077277.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\275386.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\278925.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\036395.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\073924.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\315658.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\419848.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\338964.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\345195.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\269194.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\487855.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\405481.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\296643.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\350641.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\400302.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\469681.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\135216.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\213958.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\261737.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\258407.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\104574.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\065027.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\414714.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\290768.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\306162.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\471932.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\345787.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\481611.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\181446.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\365157.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\288868.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\212207.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\152599.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\181384.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\000079.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\258426.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\014009.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\410358.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\297188.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\153138.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\241506.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\446714.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\271935.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\354337.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\119493.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\310958.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\153110.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\236373.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\316598.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\123867.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\249240.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\349515.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\328507.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\450852.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\227049.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\075531.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\320333.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\055418.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\027350.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\038725.jpg,0
