path,label
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\511237.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\557267.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\517801.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\554435.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\548531.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\501376.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\525521.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\535299.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\503475.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\512491.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\531452.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\523043.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\546685.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\523922.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\543299.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\553964.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\506108.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\534931.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\504168.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\558898.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\516431.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\518409.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\552902.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\525558.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\537013.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\517560.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\544741.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\518891.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\504025.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\510075.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\548269.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\549189.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\527512.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\508571.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\535898.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\502280.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\517410.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\551173.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\520244.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\517218.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\503375.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\538241.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\549212.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\506856.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\547341.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\499090.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\559770.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\560635.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\532797.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\551785.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\544732.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\535752.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\533928.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\522267.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\516536.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\501151.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\499436.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\530264.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\519084.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\507454.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\548830.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\514912.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\559330.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\499235.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\556114.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\522082.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\520087.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\510267.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\529406.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\537684.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\524104.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\531954.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\532878.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\519649.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\495910.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\558664.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\558416.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\521952.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\528420.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\529136.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\520953.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\526031.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\499084.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\515698.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\547473.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\553204.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\504287.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\528828.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\499046.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\530751.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\538732.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\526577.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\532425.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\547942.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\537308.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\503199.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\501401.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\510983.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\497237.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\523464.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\544279.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\515581.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\558208.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\530523.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\559491.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\549604.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\507739.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\512988.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\496711.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\560548.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\516885.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\523577.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\538314.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\520808.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\530299.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\556163.png,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\495613.png,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\558095.png,0
