path,label
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\511237.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\557267.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\517801.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\554435.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\548531.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\501376.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\525521.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\535299.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\503475.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\512491.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\531452.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\523043.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\546685.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\523922.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\543299.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\553964.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\506108.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\534931.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\504168.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\558898.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\516431.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\518409.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\552902.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\525558.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\537013.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\517560.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\544741.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\518891.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\504025.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\510075.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\548269.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\549189.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\527512.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\508571.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\535898.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\502280.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\517410.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\551173.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\520244.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\517218.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\503375.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\538241.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\549212.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\506856.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\547341.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\499090.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\559770.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\560635.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\532797.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\551785.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\544732.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\535752.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\live\533928.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\522267.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\516536.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\501151.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\499436.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\530264.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\519084.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\507454.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\548830.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\514912.jpg,1
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\559330.jpg,0
E:/kbtu_courses/diploma_project/src/diploma/data\live\499235.jpg,1
